,,,,,,,,,
№,Модуль,Summary (краткое изложение),Preconditions (Предварительные условия),Test data (тестовые данные),Steps,Expected Result (ожидаемый результат),Passed or Failed (Пройдено или не пройдено),Link to bug report (Ссылка на отчет об ошибке),Comment
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
13,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя валидными данными,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Email,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Пользователь авторизован в системе
Открыт личный кабинет пользователя



",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя валидным логином и невалидным паролем,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Email,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подсвесены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
15,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя невалидным логином и валидным паролем,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Email,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подсвесены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
16,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя невалидными данными,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",Email,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Поля ""Телефон/Email/СНИЛС"" и ""Пароль"" - подвечены красным цветом, система выдает ошибку ""Неверные логин или пароль""


",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
17,Авторизация пользователя через Госуслуги (ЕСИА),Авторизация пользователя валидными данными,"Открыта форма авторизации  сайта https://lkfl2.nalog.ru/lkfl, нажать по кнопке Госуслуги (ЕСИА)                            ",СНИЛС,"1. Ввести значение в поле ""Телефон/Email/СНИЛС""","Пользователь авторизован в системе
Открыт личный кабинет пользователя



",Passed ,,
,,,,,"2. Ввести значение в поле ""Пароль""",,,,
,,,,,"3. Нажать кнопку ""Войти""",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
